sbd,Toán,Văn,Lí,Hóa,Sinh,Ngoại ngữ,Sử,Địa,GDCD
1004678,7.8,8.75,,,,9.4,6.0,7.5,9.25
1004679,7.6,7.75,7.75,6.75,8.25,9.6,,,
1004680,7.2,7.75,,,,7.0,7.0,7.75,8.5
1004681,7.4,9.0,,,,8.6,7.5,6.5,8.75
1004682,7.4,8.5,,,,,7.0,5.5,9.25
1004683,7.2,8.5,3.75,6.5,6.0,8.2,,,
1004684,8.2,8.0,,,,7.6,3.0,4.25,7.0
1004685,8.2,9.5,,,,9.0,8.0,6.25,8.0
1004686,8.6,9.0,,,,9.2,7.25,8.0,9.75
1004687,8.2,9.5,,,,8.8,6.75,5.75,8.5
1004688,9.2,5.25,6.5,9.0,8.75,5.4,,,
1004689,8.0,8.5,,,,8.6,3.5,5.0,8.0
1004690,8.2,8.0,8.0,7.5,6.25,8.4,,,
1004691,6.6,6.75,6.25,7.5,7.0,7.6,,,
1004692,7.4,8.25,,,,9.0,4.75,4.75,7.25
1004693,8.2,8.5,,,,8.2,7.25,6.5,9.25
1004694,8.0,8.75,5.75,9.25,6.75,9.2,,,
1004695,8.6,8.25,7.75,7.0,6.0,9.0,,,
1004696,8.0,8.5,8.25,4.5,5.75,8.6,,,
1004697,7.4,8.0,7.5,4.75,7.75,9.0,,,
1004698,7.8,8.25,7.25,3.75,6.75,9.4,,,
1004699,8.2,6.75,9.0,6.5,7.5,8.6,,,
1004700,7.4,8.75,5.75,4.5,5.75,9.2,,,
1004701,8.6,6.25,9.0,4.75,5.25,8.6,,,
1004702,8.0,8.5,5.0,3.75,7.0,3.8,,,
1004703,6.0,8.5,,,,,6.25,4.75,8.75
1004704,8.2,8.5,,,,,7.5,7.25,9.5
1004705,7.8,7.25,6.25,5.25,6.75,8.8,,,
1004706,8.0,8.0,8.75,5.75,5.0,8.0,,,
1004707,8.6,7.5,9.0,5.75,5.0,9.6,,,
1004708,8.6,5.75,7.25,6.75,5.75,9.2,,,
1004709,8.4,7.5,9.0,7.25,6.75,9.2,,,
1004710,9.4,6.5,9.0,6.25,5.5,9.2,,,
1004711,8.6,7.25,3.5,8.5,3.75,7.2,,,
1004712,7.4,8.75,7.75,5.5,7.5,,,,
1004713,7.4,7.0,7.75,5.25,5.0,9.0,,,
1004714,7.6,6.75,8.0,4.5,4.25,6.8,,,
1004715,8.6,9.25,9.0,7.5,6.25,8.2,,,
1004716,7.0,6.0,5.75,6.75,8.25,9.4,,,
1004717,3.8,5.0,,,,,5.25,5.75,
1004718,7.6,8.0,,,,8.2,5.5,6.25,8.25
1004719,7.4,6.0,5.0,4.5,5.75,8.6,,,
1004720,6.4,7.0,,,,6.0,5.0,6.5,8.0
1004721,8.6,9.25,,,,9.2,8.25,8.0,9.25
1004722,6.4,8.5,,,,7.8,7.25,6.75,9.0
1004723,7.0,9.0,,,,8.6,8.0,7.25,9.5
1004724,8.4,9.25,,,,9.4,6.25,7.25,8.75
1004725,7.8,7.25,7.25,8.25,6.25,6.4,,,
1004726,8.0,8.5,,,,9.0,6.75,5.0,8.5
1004727,4.2,5.75,,,,3.0,4.75,5.75,8.0
1004728,8.4,8.0,5.0,8.25,7.5,7.8,,,
1004729,8.4,6.5,7.75,8.0,6.5,7.8,,,
1004730,6.6,7.25,,,,6.2,7.0,6.25,8.75
1004731,8.0,7.25,,,,9.4,7.75,7.25,7.5
1004732,6.4,7.5,,,,8.8,5.75,7.0,8.5
1004733,8.4,6.75,8.25,8.0,7.25,9.4,,,
1004734,6.0,8.0,,,,8.2,7.25,6.25,8.75
1004735,7.6,5.0,7.75,7.0,6.75,7.2,,,
1004736,7.0,8.25,4.75,7.5,5.25,8.8,,,
1004737,8.6,5.0,2.25,8.5,3.75,8.4,,,
1004738,8.4,6.25,8.0,6.0,4.5,8.6,,,
1004739,5.8,8.0,,,,7.4,7.25,5.5,9.0
1004740,,,,,,,,,
1004741,6.8,7.0,,,,7.8,5.25,6.25,8.0
1004742,6.8,9.25,,,,7.6,5.0,5.25,8.25
1004743,3.4,6.0,,,,2.0,5.5,4.5,7.25
1004744,8.6,7.0,7.0,6.0,6.5,8.8,,,
1004745,8.0,8.25,8.25,5.5,6.75,8.4,,,
1004746,7.2,6.25,,,,5.2,3.75,5.25,9.5
1004747,8.8,7.0,6.0,9.25,7.75,8.0,,,
1004748,7.8,8.25,,,,8.6,7.25,6.25,8.25
1004749,8.0,,6.5,7.0,6.5,5.6,,,
1004750,8.2,8.5,,,,8.4,8.0,6.75,9.75
1004751,6.2,7.75,,,,7.4,6.75,6.25,8.25
1004752,3.8,6.5,,,,2.0,4.0,4.5,6.25
1004753,7.6,7.5,,,,7.0,4.75,5.5,7.25
1004754,7.8,7.5,6.5,7.25,5.5,8.8,,,
1004755,7.4,6.5,8.75,4.0,4.0,3.0,,,
1004756,8.2,8.0,,,,9.0,8.0,7.0,
1004757,5.4,8.75,,,,5.0,6.5,6.75,8.75
1004758,7.4,9.0,8.5,7.0,6.0,8.6,,,
1004759,8.4,7.75,8.5,8.25,6.75,8.4,,,
1004760,6.4,8.5,,,,6.6,5.75,7.5,8.75
1004761,6.2,6.75,,,,,8.75,7.25,
1004762,8.6,8.5,6.75,7.75,5.75,7.8,,,
1004763,5.6,5.75,,,,4.2,6.0,5.0,7.5
1004764,7.4,8.5,2.5,7.0,4.5,6.8,,,
1004765,7.0,9.25,,,,8.2,7.5,7.0,9.5
1004766,8.8,8.75,,,,9.0,9.25,8.25,9.75
1004767,5.6,7.5,,,,10.0,8.25,7.0,9.25
1004768,6.6,7.5,4.25,6.25,6.5,5.4,,,
1004769,8.2,9.5,,,,8.4,7.0,7.0,10.0
1004770,8.8,7.0,7.75,8.25,6.25,5.4,,,
1004771,7.6,6.0,8.75,5.0,6.0,9.0,,,
1004772,6.8,9.0,,,,8.8,7.0,7.75,9.5
1004773,6.8,8.0,,,,6.8,6.5,4.25,8.0
1004774,8.2,7.75,7.75,5.5,5.0,8.4,,,
1004775,8.0,7.75,8.25,7.25,5.75,9.2,,,
1004776,6.2,7.75,,,,8.0,8.0,5.5,7.25
1004777,4.2,7.5,,,,4.4,5.25,5.5,8.25
1004778,8.0,8.25,,,,7.6,7.75,5.75,9.0
1004779,8.4,9.25,,,,8.4,5.5,6.5,8.5
1004780,6.4,7.75,,,,3.8,6.0,6.25,7.75
1004781,8.0,8.25,8.25,5.75,6.0,9.0,,,
1004782,7.0,7.5,,,,8.0,5.75,7.25,8.75
1004783,8.0,9.0,,,,7.8,4.0,5.0,8.75
1004784,3.4,4.5,,,,,5.25,5.25,
1004785,6.8,7.0,,,,8.2,8.25,5.0,6.75
1004786,7.4,7.75,,,,8.4,8.25,6.75,9.5
1004787,8.4,8.0,,,,9.2,7.25,6.0,10.0
1004788,8.2,8.25,,,,8.2,6.25,6.75,9.75
1004789,3.2,4.5,,,,,4.0,4.0,
1004790,7.6,7.75,6.25,5.0,5.25,3.8,,,
1004791,2.8,6.25,,,,3.0,5.0,5.25,6.75
1004792,7.6,9.0,,,,8.2,5.25,6.5,7.25
1004793,7.2,8.0,,,,8.0,6.25,5.5,8.75
1004794,7.2,8.5,,,,6.8,7.75,6.5,8.5
1004795,4.2,6.75,,,,3.0,4.75,5.25,8.25
1004796,7.8,8.5,,,,7.6,4.5,5.0,7.75
1004797,6.0,7.25,,,,8.0,4.25,6.5,7.0
1004798,7.2,8.5,,,,8.0,6.0,6.0,6.75
1004799,7.6,6.5,7.5,3.25,4.0,8.2,,,
1004800,6.0,7.25,,,,5.0,5.25,5.5,6.5
1004801,7.6,8.5,,,,8.2,6.0,6.25,8.5
1004802,5.8,7.25,,,,5.0,6.0,6.0,8.25
1004803,8.0,8.0,6.75,6.5,6.5,8.2,,,
1004804,8.6,8.75,,,,9.2,5.25,6.5,8.75
1004805,7.8,7.5,,,,7.8,6.25,6.75,9.75
1004806,6.2,6.83,,,,4.6,7.25,6.5,9.5
1004807,4.0,6.0,,,,,3.0,5.25,
1004808,6.6,8.25,,,,3.2,7.0,5.0,9.0
1004809,8.4,9.25,,,,6.6,9.0,8.0,7.5
1004810,7.6,8.5,,,,7.2,5.0,5.5,7.5
1004811,7.6,6.5,,,,8.8,7.0,7.5,8.5
1004812,7.4,8.75,,,,7.4,5.0,6.75,8.5
1004813,6.4,7.25,,,,4.4,3.5,5.75,7.0
1004814,4.6,7.75,,,,2.0,3.0,6.0,8.0
1004815,7.2,9.0,,,,8.8,7.5,7.25,9.75
1004816,8.0,8.5,,,,6.0,5.0,6.0,9.0
1004817,7.4,8.75,,,,7.8,5.25,5.0,8.25
1004818,8.0,7.25,,,,8.4,7.25,6.5,8.75
1004819,7.0,8.5,,,,4.8,6.0,5.5,9.25
1004820,6.8,8.25,,,,7.4,6.25,6.0,8.75
1004821,7.6,8.0,8.25,4.25,4.75,8.4,,,
1004822,7.0,8.0,,,,8.6,7.25,5.0,8.5
1004823,8.0,9.0,,,,9.2,7.0,7.0,9.5
1004824,8.0,8.5,,,,5.8,7.75,8.0,9.25
1004825,5.4,5.75,,,,8.4,4.0,5.75,8.5
1004826,7.6,8.25,,,,7.2,6.75,6.25,9.25
1004827,8.4,9.0,,,,9.2,5.5,7.0,6.75
1004828,9.4,8.5,8.75,7.0,7.0,9.0,,,
1004829,8.4,8.5,,,,8.2,6.25,6.75,9.5
1004830,8.4,9.25,,,,9.0,7.0,7.5,9.25
1004831,7.4,7.75,,,,8.8,6.0,4.5,7.25
1004832,7.6,7.0,,,,8.8,6.5,6.75,8.75
1004833,7.0,9.25,,,,9.0,6.0,5.75,7.25
1004834,8.0,7.0,8.0,5.0,6.0,8.2,,,
1004835,7.4,9.25,,,,8.8,7.0,6.25,8.25
1004836,6.4,7.75,,,,5.8,4.5,6.25,9.0
1004837,8.2,8.5,,,,9.0,6.0,5.5,8.75
1004838,6.4,5.75,,,,4.0,4.75,5.75,7.5
1004839,7.2,8.75,,,,6.0,3.25,4.25,7.0
1004840,4.8,9.0,,,,7.6,8.75,7.25,9.25
1004841,7.4,8.5,,,,8.6,6.75,6.25,8.25
1004842,8.4,4.5,7.75,8.0,7.25,9.4,,,
1004843,6.4,8.0,,,,8.0,5.75,6.0,6.75
1004844,8.2,9.0,,,,8.0,6.0,6.75,8.75
1004845,9.0,8.25,,,,8.2,6.75,6.25,8.75
1004846,8.0,9.5,,,,8.2,6.5,7.75,7.25
1004847,8.0,9.25,,,,9.4,7.25,7.0,7.75
1004848,7.8,9.0,,,,8.4,7.0,5.5,9.0
1004849,8.6,8.5,,,,9.2,6.75,7.0,9.5
1004850,8.2,9.0,,,,8.6,6.25,7.5,8.5
1004851,7.6,9.5,5.75,5.75,6.0,7.2,,,
1004852,7.6,9.25,,,,9.2,7.25,7.0,9.75
1004853,7.0,9.0,,,,7.0,7.25,6.25,9.5
1004854,8.2,7.5,,,,8.0,6.5,6.5,8.75
1004855,6.2,6.25,,,,2.2,5.0,4.75,8.0
1004856,4.0,9.0,,,,5.8,9.5,7.75,8.5
1004857,3.4,3.5,,,,3.0,4.5,4.5,7.75
1004858,8.4,8.0,,,,7.6,5.5,6.0,7.75
1004859,7.8,7.75,,,,6.2,6.5,5.75,8.75
1004860,8.8,8.0,,,,9.0,4.25,6.75,8.75
1004861,4.6,8.5,,,,4.8,6.0,6.75,8.0
1004862,7.2,6.5,4.75,6.5,6.5,8.6,,,
1004863,7.2,8.75,,,,6.0,6.0,5.0,8.5
1004864,4.0,7.0,,,,6.6,3.0,4.25,6.25
1004865,8.0,6.5,8.5,6.25,5.25,7.0,,,
1004866,9.0,7.5,9.5,5.0,5.0,9.2,,,
1004867,2.8,6.75,,,,7.0,7.0,6.5,9.0
1004868,7.4,9.25,,,,7.8,7.25,6.25,9.25
1004869,8.2,9.25,,,,7.6,3.75,6.0,8.25
1004870,7.4,9.25,,,,9.2,6.0,4.5,7.5
1004871,4.6,8.5,,,,2.6,4.0,4.5,7.75
1004872,5.6,7.5,,,,5.0,6.25,5.5,8.25
1004873,7.6,8.5,,,,7.8,6.0,5.25,8.25
1004874,7.6,8.75,,,,9.6,6.5,6.0,8.5
1004875,6.8,9.0,5.0,4.5,5.25,6.6,,,
1004876,3.8,7.25,,,,2.6,3.0,6.0,5.75
1004877,7.0,8.75,,,,7.6,7.5,6.0,9.25
1004878,6.0,8.0,,,,8.2,9.25,8.25,9.0
1004879,8.0,7.25,5.5,8.0,6.25,9.2,,,
1004880,6.2,8.25,,,,6.6,8.5,7.0,9.0
1004881,7.4,7.5,5.25,5.0,5.25,8.8,,,
1004882,8.0,8.75,,,,8.0,7.0,5.5,8.0
1004883,7.4,8.25,,,,7.0,5.5,5.75,8.0
1004884,9.0,9.5,,,,8.2,4.25,7.0,8.25
1004885,8.2,8.5,,,,8.8,7.0,6.25,8.5
1004886,6.2,8.5,,,,8.6,5.0,5.75,8.75
1004887,7.6,5.75,,,,,5.0,5.5,
1004888,8.0,7.0,,,,9.2,6.0,5.75,8.5
1004889,8.0,8.75,,,,9.0,6.75,8.0,9.5
1004890,6.6,8.5,,,,3.6,5.0,4.5,7.75
1004891,6.6,8.25,,,,6.4,5.25,5.0,8.0
1004892,7.8,8.25,,,,7.8,8.25,6.75,9.25
1004893,6.0,9.0,,,,4.8,6.25,6.5,7.5
1004894,8.6,8.25,,,,8.0,5.25,6.0,9.5
1004895,4.4,6.5,,,,3.0,5.75,6.25,7.0
1004896,8.2,6.75,,,,8.2,5.0,5.75,8.5
1004897,7.6,9.25,,,,8.4,8.0,7.25,8.75
1004898,6.6,8.0,,,,6.4,5.5,5.25,8.5
1004899,7.6,8.25,,,,8.6,6.75,6.75,7.75
1004900,5.8,8.0,,,,6.8,6.25,6.25,9.0
1004901,2.6,3.75,,,,2.4,4.0,5.0,6.0
1004902,2.6,2.5,,,,,4.25,4.75,
1004903,,,,,,,,,
1004904,7.6,9.0,,,,7.6,5.5,5.5,8.0
1004905,3.4,4.0,,,,2.8,4.0,4.25,5.5
1004906,5.6,6.0,,,,3.4,4.5,5.75,6.0
1004907,7.8,8.75,,,,7.0,8.25,6.5,7.5
1004908,,6.75,,,,8.8,7.5,6.75,8.5
1004909,3.4,6.0,,,,3.2,3.25,4.75,8.0
1004910,7.4,9.0,,,,8.6,6.75,6.25,8.75
1004911,5.6,8.5,,,,8.6,8.0,6.25,7.5
1004912,8.2,8.75,,,,9.4,7.5,7.75,9.5
1004913,7.4,8.5,,,,5.8,4.75,4.25,8.75
1004914,8.6,9.0,,,,8.6,6.75,6.5,8.5
1004915,7.6,8.25,,,,5.8,4.0,5.75,8.25
1004916,6.6,9.0,,,,5.8,6.5,6.75,9.0
1004917,6.6,6.5,,,,6.6,4.75,5.25,6.5
1004918,8.2,8.5,,,,9.2,6.25,6.0,8.75
1004919,7.4,7.5,,,,7.8,6.25,5.0,9.25
1004920,7.6,8.25,,,,7.8,5.0,6.5,7.75
1004921,4.2,4.0,,,,,3.25,4.75,
1004922,4.6,6.5,,,,3.6,5.5,6.0,7.75
1004923,3.8,6.75,,,,3.6,3.75,4.75,7.5
1004924,7.4,9.25,,,,7.2,4.75,5.5,9.0
1004925,8.0,8.75,,,,9.4,6.25,6.0,7.25
1004926,7.8,9.5,,,,8.8,6.5,6.5,8.75
1004927,6.6,8.75,,,,9.0,5.75,6.25,7.0
1004928,7.0,8.0,,,,7.6,5.75,5.75,8.25
1004929,5.4,5.5,,,,4.0,4.5,5.0,7.25
1004930,7.8,8.0,,,,4.8,6.0,5.75,8.25
1004931,7.2,8.5,,,,8.8,7.0,4.75,8.0
1004932,7.0,7.0,,,,,4.0,6.75,
1004933,5.8,8.25,,,,9.0,7.75,6.5,8.5
1004934,7.0,7.5,,,,3.4,4.25,4.75,7.25
1004935,,,,,,,,,
1004936,8.2,9.0,,,,9.4,6.75,7.0,9.0
1004937,8.4,8.75,,,,8.8,6.75,6.0,8.5
1004938,4.2,7.0,,,,4.4,6.0,2.75,8.0
1004939,5.4,7.75,,,,6.6,,,
1004940,7.0,7.5,,,,9.2,5.75,5.25,7.75
1004941,5.8,8.0,,,,5.0,3.5,5.75,8.5
1004942,7.4,8.75,,,,8.4,6.5,5.25,9.25
1004943,7.4,7.25,,,,4.8,3.5,4.5,7.5
1004944,7.8,7.75,,,,9.4,6.0,5.75,8.5
1004945,6.8,9.0,,,,9.0,5.75,5.5,8.25
1004946,7.0,8.5,,,,7.4,7.5,8.25,8.5
1004947,8.4,9.25,,,,8.8,7.0,6.5,8.5
1004948,5.2,6.08,,,,8.0,6.5,6.0,7.0
1004949,6.2,8.25,,,,6.2,5.25,6.0,8.0
1004950,6.0,9.25,,,,8.0,9.0,8.5,8.75
1004951,8.2,8.0,,,,5.6,8.25,7.5,9.0
1004952,7.2,8.25,,,,7.6,5.5,6.0,7.25
1004953,8.0,9.25,,,,8.6,8.5,7.5,8.75
1004954,7.6,8.75,,,,7.6,6.25,5.0,8.25
1004955,6.8,8.0,,,,5.2,6.75,5.75,7.75
1004956,7.6,8.25,,,,9.0,8.25,7.25,8.5
1004957,7.0,8.0,,,,8.6,7.25,6.0,8.75
1004958,6.6,6.75,,,,9.0,6.25,6.75,8.75
1004959,8.2,8.0,,,,9.0,6.5,7.5,9.0
1004960,8.4,9.25,,,,8.6,5.75,3.75,7.5
1004961,8.0,9.5,,,,8.6,7.0,7.25,8.75
1004962,7.6,8.0,,,,7.4,5.75,5.5,7.5
1004963,8.6,9.0,,,,9.2,7.25,6.0,7.5
1004964,8.0,7.5,,,,8.8,5.5,5.75,7.75
1004965,4.0,8.0,,,,5.0,6.0,7.0,6.75
1004966,7.8,9.25,,,,8.4,6.25,5.25,9.0
1004967,6.8,8.25,,,,8.8,8.25,5.25,8.5
1004968,4.0,8.0,,,,6.6,4.0,4.25,6.5
1004969,7.4,9.5,,,,9.4,7.75,7.75,9.5
1004970,8.2,9.25,,,,8.4,4.75,6.75,7.0
1004971,8.2,8.25,,,,7.8,8.0,7.25,9.25
1004972,7.0,8.25,,,,7.6,7.5,7.5,8.75
1004973,7.4,8.0,,,,8.8,6.75,6.75,9.0
1004974,6.2,8.25,,,,6.6,5.5,5.25,7.75
1004975,8.4,8.25,,,,7.2,8.0,8.0,9.75
1004976,7.4,8.0,,,,8.8,6.75,6.75,8.5
1004977,7.0,8.0,,,,4.6,8.0,6.5,8.75
1004978,7.6,9.0,,,,8.6,5.5,6.5,9.0
1004979,9.0,9.0,,,,9.2,8.5,8.25,8.5
1004980,6.8,8.0,,,,6.6,3.5,6.25,9.25
1004981,7.0,9.0,,,,7.8,8.25,7.5,9.25
1004982,7.4,8.25,,,,3.8,5.25,4.25,8.0
1004983,7.0,9.25,,,,9.2,8.5,7.25,10.0
1004984,7.4,8.5,,,,8.2,6.25,6.75,8.5
1004985,8.0,4.75,,,,8.0,,,
1004986,5.0,6.75,,,,5.2,4.25,5.75,7.25
1004987,6.0,6.25,,,,6.6,6.0,6.5,8.5
1004988,7.6,9.0,,,,7.8,7.5,5.75,7.75
1004989,8.0,8.75,,,,7.4,6.25,6.5,8.0
1004990,7.6,8.75,,,,7.4,6.25,5.0,8.75
1004991,4.6,7.0,,,,2.6,5.25,5.0,8.5
1004992,5.8,6.25,,,,3.8,3.75,6.0,7.25
1004993,2.0,1.5,,,,5.8,4.75,6.0,
1004994,8.2,8.25,,,,9.0,5.75,6.5,8.5
1004995,7.2,9.0,,,,8.8,5.25,4.75,9.0
1004996,4.0,7.75,,,,2.0,4.5,5.25,7.75
1004997,6.4,7.5,,,,5.0,5.5,5.5,8.75
1004998,8.4,8.75,,,,8.6,8.25,7.5,9.5
1004999,7.0,7.5,,,,7.6,4.5,5.25,8.25
1005000,8.2,5.75,,,,8.0,6.25,6.25,8.25
1005001,7.4,8.25,,,,7.6,5.25,6.0,8.0
1005002,7.8,8.75,,,,9.0,6.75,7.25,8.75
1005003,8.4,8.75,,,,8.8,8.0,6.25,9.25
1005004,6.0,9.0,,,,7.6,8.5,6.75,8.75
1005005,7.8,7.75,,,,6.0,7.25,6.0,9.25
1005006,7.0,8.5,,,,8.0,4.5,6.0,8.75
1005007,6.6,8.0,,,,7.2,7.5,5.25,8.75
1005008,6.2,6.75,,,,5.4,6.25,5.25,9.0
1005009,8.0,8.75,,,,9.2,5.75,4.25,8.25
1005010,7.2,8.25,,,,7.4,5.75,4.75,7.5
1005011,8.6,9.25,,,,9.0,4.5,7.0,9.5
1005012,7.8,8.5,,,,8.2,4.0,5.5,8.0
1005013,8.4,8.5,,,,7.8,5.0,5.0,8.75
1005014,6.4,8.5,,,,6.4,6.0,6.5,8.5
1005015,6.2,9.0,,,,6.8,8.75,7.0,8.25
1005016,7.6,9.0,,,,9.2,7.75,7.25,9.0
1005017,6.4,7.5,,,,4.4,9.25,6.75,9.25
1005018,6.8,7.5,,,,6.0,4.5,5.75,7.5
1005019,7.6,6.5,,,,6.2,6.75,6.75,8.75
1005020,5.8,7.5,,,,6.2,8.0,5.5,8.5
1005021,6.6,7.5,,,,5.4,5.5,5.5,8.25
1005022,7.8,6.75,,,,7.6,7.25,7.75,8.75
1005023,7.6,7.75,4.75,6.5,5.5,8.2,,,
1005024,7.8,8.25,,,,8.2,5.0,6.0,8.25
1005025,3.2,6.0,,,,3.0,4.75,6.0,8.5
1005026,5.0,6.0,,,,3.0,4.25,5.25,7.25
1005027,4.6,6.5,,,,5.6,6.75,5.25,9.5
1005028,4.4,7.25,,,,3.0,5.5,5.25,8.5
1005029,3.6,6.25,,,,4.4,5.25,5.0,7.75
1005030,4.8,8.5,,,,8.2,5.75,4.25,9.75
1005031,5.2,8.0,,,,5.6,7.5,6.25,9.5
1005032,7.4,8.75,,,,9.4,7.75,7.5,9.5
1005033,8.6,9.25,,,,9.6,7.25,7.25,9.5
1005034,4.6,6.0,,,,,5.0,3.75,
1005035,4.2,5.42,,,,,3.0,5.25,
1005036,3.0,5.75,,,,,5.5,4.75,
1005037,7.0,6.25,,,,,7.5,6.25,
1005038,8.0,8.5,,,,9.8,,,
1005039,8.2,7.5,7.25,2.75,4.25,6.2,,,
1005040,3.4,4.75,,,,,3.75,4.0,
1005041,2.6,6.25,,,,,4.0,5.25,
1005042,7.2,,7.5,,,8.2,,,
1005043,3.8,4.75,,,,,4.75,5.75,
1005044,5.8,9.0,,,,8.8,,,
1005045,7.2,8.25,,,,8.2,8.0,6.75,
1005046,7.2,4.0,,,,,3.5,6.75,
1005047,2.2,4.75,,,,,4.5,3.75,
1005048,3.8,5.0,,,,,4.0,5.25,
1005049,5.2,4.0,,,,,4.5,4.5,
1005050,2.6,4.75,,,,,3.75,4.75,
1005051,3.4,5.0,,,,,6.25,5.0,
1005052,6.0,7.0,,,,,4.25,4.75,
1005053,6.4,8.25,,,,6.6,,,
1005054,7.8,9.0,,,,9.0,,,
1005055,8.0,9.0,,,,9.4,,6.5,9.25
1005056,6.0,6.5,,,,,5.75,5.5,
1005057,2.6,6.0,,,,,3.25,4.25,
1005058,3.6,4.25,,,,,6.25,5.75,
1005059,8.2,6.25,8.5,6.25,5.75,9.4,,,
1005060,3.2,5.5,,,,,4.0,6.0,
1005061,7.8,,6.75,3.5,2.5,8.6,,,
1005062,5.8,6.75,,,,,6.0,5.75,
1005063,7.4,,,6.0,7.0,8.2,,,
1005064,,,,,,,,,
1005065,5.8,8.5,,,,5.8,,,6.5
1005066,,,,,,,,,
1005067,4.6,3.75,,,,,4.5,3.25,
1005068,5.8,7.0,,,,8.0,,,
1005069,3.8,5.75,,,,,4.5,5.25,
1005070,5.0,,3.25,,,4.8,,,
1005071,6.8,6.5,,,,,7.25,6.25,
1005072,2.6,4.25,,,,,4.25,4.25,
1005073,5.4,7.5,,,,3.6,,,
1005074,,,,,,,,,
1005075,,,,,,,,,
1005076,7.6,,,8.0,8.25,6.2,,,
1005077,2.6,4.0,,,,,6.0,4.25,
1005078,,,,,,,,,
1005079,7.6,8.75,,,,6.4,,,
1005080,2.0,6.25,,,,,4.25,5.0,
1005081,,,,,,,,,
1005082,,,,,,,,,
1005083,4.2,5.5,,,,,3.75,5.5,
1005084,8.2,9.5,,,,9.0,,,
1005085,7.4,5.25,,,,,7.75,7.25,
1005086,2.4,5.75,,,,,6.25,6.75,
1005087,7.2,,,,7.25,9.0,,,
1005088,8.4,,8.75,3.5,4.0,9.6,,,
1005089,4.0,5.25,,,,,7.25,6.0,
1005090,4.2,5.25,,,,,3.25,5.0,
1005091,4.8,7.83,,,,7.6,,,
1005092,6.0,6.75,,,,,6.0,6.25,
1005093,6.6,8.5,,,,7.6,,,
1005094,6.6,8.25,,,,8.4,,,
1005095,5.4,7.5,,,,,7.5,5.75,
1005096,3.2,1.25,,,,,4.75,3.0,
1005097,6.4,6.25,,,,,5.0,3.75,
1005098,6.6,4.25,,,,,5.75,6.75,
1005099,7.8,,7.5,,,8.4,,,
1005100,4.8,2.5,,,,,1.25,4.25,
1005101,6.2,5.5,,,,,4.75,6.25,
1005102,5.4,7.75,,,,,7.0,4.5,
1005103,7.2,8.0,,,,7.8,,,
1005104,6.8,6.75,,,,8.6,6.25,6.5,
1005105,1.8,2.75,,,,,4.5,4.5,
1005106,6.2,8.0,,,,7.2,7.25,5.5,9.0
1005107,,8.25,,,,7.6,7.25,5.25,8.5
1005108,6.8,5.25,,,,,7.25,6.5,
1005109,2.8,4.5,,,,,5.75,6.5,
1005110,3.6,6.25,,,,,4.75,3.75,
1005111,,8.0,,,,4.4,8.5,7.25,7.75
1005112,7.6,9.0,,,,8.2,4.5,8.0,7.75
1005113,3.4,4.75,,,,2.8,2.5,4.75,8.25
1005114,8.4,,8.0,,,8.8,,,
1005115,3.8,6.0,,,,,5.5,5.25,
1005116,6.6,7.25,,,,,5.75,6.25,
1005117,1.8,4.5,,,,,4.0,3.5,
1005118,8.8,9.0,,,,7.6,,,
1005119,8.8,,7.25,8.5,,7.8,,,
1005120,2.6,5.25,,,,,4.5,5.25,
1005121,6.4,8.25,,,,8.8,,,
1005122,8.0,9.25,,,,8.6,,,
1005123,1.8,6.5,,,,,4.25,5.75,
1005124,3.4,5.25,,,,,3.75,5.5,
1005125,6.4,4.25,,,,,8.0,5.25,
1005126,7.6,6.0,,,,,6.25,6.5,
1005127,4.4,5.75,,,,,4.5,6.75,
1005128,4.6,2.75,,,,,3.75,5.25,
1005129,7.0,4.25,,,,,6.75,7.5,
1005130,2.8,4.0,,,,3.2,8.0,5.0,2.25
1005131,4.6,6.0,,,,,5.5,5.25,
1005132,3.0,2.25,,,,,3.75,3.75,
1005133,4.0,5.0,,,,,5.5,3.75,
1005134,3.0,5.25,,,,,3.5,4.75,
1005135,6.6,6.75,,,,8.0,,,
1005136,7.6,6.25,7.25,,,6.6,,,
1005137,6.2,8.75,,,,9.4,,,
1005138,2.4,4.75,,,,,4.0,5.25,
1005139,6.6,6.25,,,,,5.75,6.25,
1005140,5.8,9.0,,,,8.0,4.5,3.5,8.75
1005141,5.4,9.0,,,,7.6,,,
1005142,6.6,7.25,,,,,8.0,6.5,
1005143,2.2,5.5,,,,,4.5,5.5,
1005144,6.2,7.0,,,,,8.0,6.0,
1005145,4.4,3.25,,,,,4.75,3.0,
1005146,3.0,4.5,,,,7.2,7.0,6.0,
1005147,,,,,,,,,
1005148,5.4,7.0,,,,,6.75,7.25,
1005149,4.4,6.0,,,,,4.5,5.5,
1005150,5.8,4.0,,,,,6.5,6.5,
1005151,3.6,4.0,,,,,2.25,4.5,
1005152,6.6,7.75,,,,7.4,5.75,7.0,7.75
1005153,2.4,5.5,,,,,5.5,5.25,
1005154,8.2,,7.5,,,9.0,,,
1005155,2.8,5.75,,,,,4.0,4.75,
1005156,7.4,8.25,,,,8.8,,,
1005157,3.6,7.25,,,,,5.75,4.0,
1005158,8.0,9.0,,,,8.2,,,
1005159,3.2,4.75,,,,,5.0,7.5,
